Lesson;Spanish;German;Wordtype;Gender;Number;LA
7 Mi gramática;traer;(her)bringen;Verb;;;
7 Mi léxico;la flauta;Flöte;Nomen;F.;SG;
7 Mi léxico;el piano;Klavier;Nomen;M.;SG;
7 Mi léxico;el golf;Golf;Nomen;M.;SG;
7 Mi léxico;bajo;unter;Adjektiv;;;
7 Mi léxico;la categoría;Kategorie;Nomen;F.;SG;
7 Cultura;actual;gegenwärtig, aktuell;Adjektiv;;;
7 Cultura;vacacional;Ferienel;Adjektiv;;;
7 Cultura;informe;Bericht;Nomen;M.;SG;
7 Cultura;realizar;durchführen;Verb;;;
7 Cultura;el resultado;Ergebnis;Nomen;M.;SG;
7 Cultura;la lectura;Lektüre, Lesen;Nomen;F.;SG;
7 Cultura;el lector;Leser;Nomen;M.;SG;
7 Cultura;la lectora;Leserin;Nomen;F.;SG;
7 Cultura;electrónico;elektronisch;Adjektiv;M.;SG;
7 Cultura;electrónica;elektronisch;Adjektiv;F.;SG;
7 Cultura;masculino;männlich, maskulin;Adjektiv;M.;SG;
7 Cultura;masculina;männlich, maskulin;Adjektiv;F.;SG;
7 Cultura;duplicar;verdoppeln;Verb;;;
7 Cultura;a diario;täglich;Adv;;;
7 Cultura;(estar) metido en;sich beschäftigen mit;Phrase;;;
7 Cultura;(estar) metida en;sich beschäftigen mit;Phrase;;;
7 Cultura;la red social;soziales Netzwerk;Nomen;F.;SG;
7 Cultura;pasar el rato;sich die Zeit vertreiben;Phrase;;;
7 Cultura;compartir;teilen;Verb;;;
7 Cultura;útil;nützlich;Adjektiv;;;
7 Cultura;la conclusión;Schluss(folgerung), Fazit;Nomen;F.;SG;
7 Cultura;observar;beobachten;Verb;;;
7 Cultura;navegar;im Internet surfen;Verb;;;
7 Cultura;la atención;Aufmerksamkeit;Nomen;F.;SG;
7 Cultura;la participación;Beteiligung, Teilnahme;Nomen;F.;SG;
7 Cultura;pertenecer (a);gehören (zu);Verb;;;
7 Cultura;absoluto;absolut, völlig;Adjektiv;M.;SG;
7 Cultura;absoluta;absolut, völlig;Adjektiv;F.;SG;
7 Cultura;la asociación;Verein;Nomen;F.;SG;
7 Cultura;u (vor o und ho);oder;Konjunktion;;;
7 Cultura;la organización;Einrichtung, Organisation;Nomen;F.;SG;
7 Cultura;juvenil;Jugend-;Adjektiv;;;
7 AB;el participio;Partizip;Nomen;M.;SG;
7 AB;poner;stellen, setzen, legen;Verb;;;
7 AB;mejorar;verbessern;Verb;;;
7 AB;tomar apuntes;sich Notizen machen;Phrase;;;
7 AB;el apunte;Notiz, Aufzeichnung;Nomen;M.;SG;
7 AB;el presente;Gegenwart;Nomen;M.;SG;
7 AB;será (Futur von ser);es wird sein;Verb;;;
7 AB;alérgico;allergisch;Adjektiv;M.;SG;
7 AB;¡Vaya! Na sowas!; Was du nicht sagst!;Phrase;;;
7 AB;el folk;Folkmusik;Nomen;M.;SG;
7 AB;la pintura;Malerei;Nomen;F.;SG;
7 AB;pasado mañana;übermorgen;Phrase;;;
7 AB;dentro de;innerhalb (von);Phrase;;;
7 AB;devolver;zurückgeben;Verb;;;
7 AB;fatal;unangenehm, mies;Adjektiv;;;
7 AB;esconder;verstecken;Verb;;;
7 AB;el crédito;Kredit;Nomen;M.;SG;
7 AB;informar;informieren;Verb;;;
7 AB;proteger;schützen, beschützen;Verb;;;
7 AB;precisamente;genau;Adverb;;;
7 AB;el panecillo;Brötchen;Nomen;M.;SG;
7 AB;lógico;logisch, selbstverständlich;Adjektiv;M.;SG;
7 AB;lógica;logische, selbstverständliche;Adjektiv;F.;SG;
7 AB;las patatas fritas;Kartoffelchips;Nomen;F.;PL;
7 AB;la patata;Kartoffel;Nomen;F.;SG;
7 AB;frito;gebraten;Adjektiv;M.;SG;
7 AB;frita;gebratene;Adjektiv;F.;SG;
7 AB;la idea;Idee;Nomen;F.;SG;
